Segment,Novelty,Representativeness,Main_Topics,Label
1,0.0,0.279,"['最初', '共有', '画面', '待つ', '20']",O
2,0.592,0.368,"['最初', '話す', 'スタート', '素行', 'える']",D
3,0.734,0.507,"['良い', '素行', 'する', '悪い', 'やつ']",D
4,0.763,0.4,"['週間', '続ける', '勉強', 'みる', 'ベクトル']",D
5,0.869,0.32,"['パスワード', 'ゲーム', '時間', '分かる', '全部']",D
6,0.896,0.409,"['変わる', '厳しい', 'する', '教員', 'ブランディング']",D
7,0.685,0.405,"['老害', 'おじいさん', '変わる', '先生', '校則']",D
8,0.886,0.451,"['地域', '実地', 'なに', '見る', '呼ぶ']",D
9,0.871,0.457,"['てる', '回る', '良い', '言い方', '言う']",D
10,0.931,0.312,"['怖い', '呼ぶ', '呼び出す', '違う', '地域']",D
11,0.801,0.363,"['アンケート', '呼ぶ', 'やつ', '来る', 'いう']",D
12,0.926,0.427,"['解決', '理由', 'ストライキ', '悪循環', '傲慢']",D
13,0.68,0.362,"['ストライキ', '手段', '最終', '来る', '見る']",D
14,0.821,0.403,"['つける', 'まとめる', '落とす', 'どころ', 'いう']",C
15,0.837,0.312,"['聞こえる', 'てる', '入る', 'ちっちゃい', 'ノイキャン']",O
16,0.97,0.326,"['以外', '隔離', '組合', 'なん', 'むずくない']",D
17,0.86,0.372,"['生徒', 'わかる', 'サークル', '広げる', 'コミュニティ']",D
18,0.773,0.407,"['解決', 'うち', '平和', 'やる', '広げる']",C
19,0.73,0.451,"['終わる', '学校', 'いう', '組合', '作る']",C
20,0.81,0.334,"['まとまる', '君主', '終了', '立憲', '民主']",O
