Segment,Novelty,Representativeness,Main_Topics,Label
1,0.0,0.625,"['てる', '幸輝', '内田', 'マイク', 'お願い']",O
2,0.597,0.572,"['髪型', 'やばい', '幸輝', '内田', 'うち']",D
3,0.64,0.48,"['普通', 'ツーブロ', '言う', 'てる', '内田']",D
4,0.713,0.539,"['バス', '校則', '相鉄', '場所', '変える']",D
5,0.755,0.576,"['核心', 'つく', '大学', '内田', '松尾']",D
6,0.633,0.643,"['学校', 'ブランディング', '内田', '幸輝', '結果']",C
7,0.765,0.457,"['自己', '分かる', '松尾', '禁止', '校則']",D
8,0.712,0.59,"['幸輝', '内田', '沼田', '佳野', '全部']",D
9,0.623,0.621,"['先生', '幸輝', '内田', '校則', '考え']",D
10,0.588,0.587,"['歴史', '校則', '武蔵野', '知る', '学校']",D
11,0.686,0.592,"['指定', '内田', '幸輝', '沼田', '佳野']",D
12,0.742,0.419,"['式典', '靴下', '履く', '幸輝', '内田']",D
13,0.841,0.5,"['評判', 'いい', 'ブランディング', '評価', 'google']",C
14,0.735,0.511,"['ブランド', '佳野', '沼田', '幸輝', '内田']",C
15,0.796,0.541,"['松尾', '幸輝', '内田', '意外', '集める']",D
16,0.711,0.525,"['校則', '職員', '憲法', '決まる', '守る']",D
17,0.703,0.558,"['生徒', '選挙', '幸輝', '内田', '入部']",D
18,0.633,0.51,"['先生', '書く', '学期', 'みたい', '目安']",D
19,0.708,0.578,"['松尾', '大丈夫', '権力', '内田', '幸輝']",D
20,0.773,0.507,"['終了', '内田', '幸輝', 'やる', '来る']",O
