Segment,Novelty,Representativeness,Main_Topics,Label
1,0.0,0.543,"['問題', '生徒', '考える', '校則', 'なん']",D
2,0.576,0.507,"['定義', '問題', '話す', 'いい', 'ブロック']",D
3,0.842,0.396,"['スマホ', 'ツーブロック', 'みたい', 'ダメ', '学校']",D
4,0.749,0.557,"['守る', '生徒', '校則', '思う', 'スマホ']",D
5,0.659,0.569,"['先生', '作る', '言う', '方向', 'みたい']",D
6,0.726,0.449,"['どっち', 'さっき', '行く', '違う', '拘束']",D
7,0.774,0.432,"['ブラック', '話す', '校則', 'やすい', '重視']",C
8,0.909,0.326,"['人権', '侵害', '意見', 'みたい', '生徒']",D
9,0.925,0.341,"['高校生', '小中学生', '禁止', '教育', '中学生']",D
10,0.863,0.31,"['責任', 'する', '小学生', 'ゆるい', 'あげる']",D
11,0.899,0.299,"['管理', 'できる', 'バイト', '言い方', '15']",D
12,0.834,0.457,"['メイク', 'する', 'ちゃう', 'いける', 'いい']",D
13,0.752,0.42,"['学校', '核心', 'プール', '帰り', 'バイト']",D
14,0.881,0.392,"['きれる', '取り込める', 'マナー', 'てる', '新しい']",D
15,0.793,0.479,"['時代', '学ぶ', 'ルール', '思う', '大丈夫']",D
16,0.846,0.325,"['残る', '価値', '下げる', '入れ墨', '当たり前']",D
17,0.882,0.361,"['かける', '迷惑', '社会', 'ルール', '禁止']",D
18,0.882,0.439,"['まとめる', '女子', '時代', '古い', 'いう']",C
19,0.834,0.35,"['みたい', '見せる', 'つながる', '不透明', '合理']",C
20,0.975,0.249,"['入る', 'とく', '忘れる', '来週', 'ガチ']",O
